No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
399,DP017,"Taoge, goreng","14,0","3,2","2,1","0,7",72.5,16.6,10.9,B/L/D,Sayur,Olahan
400,DP018,"Taoge, seduh","4,0","3,0","0,8","1,0",51.3,38.5,10.3,B/L/D,Sayur,Olahan
401,DP019,"Terung panjang, kukus","4,9","1,8","0,1","0,4",72.1,26.5,1.5,B/L/D,Sayur,Olahan
402,DP020,"Wortel, rebus","6,3","0,7","0,5","0,8",84.0,9.3,6.7,L/D,Sayur,Olahan
403,DP021,"Wortel, kukus","8,3","1,0","0,6","1,1",83.8,10.1,6.1,L/D,Sayur,Olahan
404,DP022,"Asinan Bogor, sayuran","14,8","3,9","2,6","0,5",69.5,18.3,12.2,B/L/D,Sayur,Olahan
405,DP023,"Anyang, sayur","10,3","3,4","7,9","5,4",47.7,15.7,36.6,B/L/D,Sayur,Olahan
406,DP024,"Ares, sayur","11,2","0,9","7,2","4,7",58.0,4.7,37.3,B/L/D,Sayur,Olahan
407,DP025,Arwan sirsir,"10,7","2,4","25,0","4,6",28.1,6.3,65.6,B/L/D,Sayur,Olahan
408,DP026,Beberuk,"3,5","1,1","5,2","3,1",35.7,11.2,53.1,B/L/D,Sayur,Olahan
409,DP027,Botok lamtoro,"13,0","11,7","9,7","2,1",37.8,34.0,28.2,B/L/D,Sayur,Olahan
410,DP028,Buntil daun talas,"8,0","4,4","10,2","1,8",35.4,19.5,45.1,B/L/D,Sayur,Olahan
411,DP029,Cammetutu,"8,7","3,2","6,0","4,3",48.6,17.9,33.5,B/L/D,Sayur,Olahan
412,DP030,"Cap cai, sayur","4,2","5,8","6,3","0,6",25.8,35.6,38.7,B/L/D,Sayur,Olahan
413,DP031,Gado-gado,"21,0","6,1","3,2","1,1",69.3,20.1,10.6,L,Sayur,Olahan
414,DP032,"Gudeg, sayur","16,0","3,3","9,2","2,3",56.1,11.6,32.3,B/L/D,Sayur,Olahan
415,DP033,Gulai pakis,"6,0","4,0","11,4","1,4",28.0,18.7,53.3,L/D,Sayur,Olahan
416,DP034,Gulai pliek,"3,2","7,3","14,9",-,12.6,28.7,58.7,L/D,Sayur,Olahan
417,DP035,Kadada katembe,"7,1","4,5","6,9","3,9",38.4,24.3,37.3,B/L/D,Sayur,Olahan
418,DP036,"Kaparende, sayur","2,6","2,4","2,0","1,5",37.1,34.3,28.6,L/D,Sayur,Olahan
419,DP037,"Karedok, sayur","14,1","2,2","3,3","1,4",71.9,11.2,16.8,B/L/D,Sayur,Olahan
420,DP038,Keripik bayam,"50,2","4,9","40,6","0,5",52.5,5.1,42.4,L/D,Sayur,Olahan
421,DP039,Kotiu hinela tawang nggole,"6,0","2,2","1,5","3,8",61.9,22.7,15.5,B/L/D,Sayur,Olahan
422,DP040,Lema/Rebung asam,"1,9","1,0","0,4",-,57.6,30.3,12.1,L/D,Sayur,Olahan
423,DP041,Lilin bungkus gedi,"5,8","2,3","5,2","2,5",43.6,17.3,39.1,B/L/D,Sayur,Olahan
424,DP042,Olah-olah,"7,1","2,1","6,0","4,4",46.7,13.8,39.5,B/L/D,Sayur,Olahan
425,DP043,Paku hinela wulelenggapaya,"5,4","3,5","4,6","3,6",40.0,25.9,34.1,L/D,Sayur,Olahan
426,DP044,Pelecing kangkung,"10,0","2,5","2,8","5,4",65.4,16.3,18.3,L/D,Sayur,Olahan
427,DP045,Purundawa,"3,6","1,5","0,5","1,7",64.3,26.8,8.9,B/L/D,Sayur,Olahan
428,DP046,Rujak cingur,"8,0","11,3","8,4","1,4",28.9,40.8,30.3,B/L,Sayur,Olahan
429,DP047,Sayur asem,"5,0","0,7","0,6","0,6",79.4,11.1,9.5,B/L/D,Sayur,Olahan
430,DP048,Sayur bunga pepaya,"9,8","1,7","0,3","2,7",83.1,14.4,2.5,B/L,Sayur,Olahan
431,DP049,Sayur garu,"10,6","2,6","13,9","8,4",39.1,9.6,51.3,B/L/D,Sayur,Olahan
432,DP050,Sayur kohu-kohu,"11,2","7,3","6,6","1,2",44.6,29.1,26.3,B/L/D,Sayur,Olahan
433,DP051,Sayur lilin-terubuk,"4,8","2,7","0,7","1,4",58.5,32.9,8.5,B/L/D,Sayur,Olahan
