No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
1100,MP008,"Jam, selai","64,5","0,5","0,6","1,0",Olahan,Gula,DABM-1964
1101,MP009,Kopi bubuk instant,"35,0","12,3","0,5",-,Olahan,Gula,FCTEA-1972
1102,MP010,Madu,"79,5","0,3",-,"0,2",Olahan,Gula,DABM-1964
1103,MP011,Markisa squash,"49,6","2,5","1,0",-,Olahan,Gula,KZGMI-2001
1104,MP012,"Markisa squash, BD","23,7","1,2","0,5",-,Olahan,Gula,KZGMI-2001
1105,MP013,Melase,"71,0",-,"0,1",-,Olahan,Gula,DABM-1964
1106,MP014,Sirup,"55,0",-,-,-,Olahan,Gula,DABM-1964
1107,MP015,Sirup pirous,"55,9","0,2","0,4",-,Olahan,Gula,KZGMI-2001
1108,MP016,Teh hijau daun kering,"53,6","28,3","4,8","9,6",Olahan,Gula,FCTEA-1972
1109,MP017,Teh hitam daun kering,"58,8","24,5","2,8","8,7",Olahan,Gula,FCTEA-1972
1110,MP018,Teh melati daun kering,"59,0","24,1","3,5","9,7",Olahan,Gula,FCTEA-1972
1111,NP001,Balichong,"22,9","13,2","0,8","1,5",Olahan,Bumbu,KZGMI-2001
1112,NP002,Bekasam,"6,1","11,9","4,9","3,5",Olahan,Bumbu,KZGMI-2001
1113,NP003,Bekasang,"3,6","11,4","2,0","0,4",Olahan,Bumbu,KZGMI-2001
1114,NP004,Cuka,"5,0","0,1","0,1",-,Olahan,Bumbu,DABM-1964
1115,NP005,Kecap,"9,0","5,7","1,3",-,Olahan,Bumbu,DABM-1964
1116,NP006,Petis ikan,"20,8","20,0","0,2",-,Olahan,Bumbu,DABM-1964
1117,NP007,Petis udang kering,"59,3","23,8","1,4",-,Olahan,Bumbu,KZGPI-1990
1118,NP008,Petis udang pasta,"38,0","15,0","0,9","2,3",Olahan,Bumbu,DABM-1964
1119,NP009,Saos tomat,"24,5","2,0","0,4","0,9",Olahan,Bumbu,DABM-1964
1120,NP010,Tempoya,"21,9","1,7","1,3","2,6",Olahan,Bumbu,KZGMI-2001
1121,NP011,Terasi,"9,9","22,3","2,9","2,7",Olahan,Bumbu,KZGPI-1990
1122,NP012,Terasi dobo,"6,6","33,1","3,6","1,6",Olahan,Bumbu,KZGMI-2001
1123,NP013,Terasi merah,"5,6","30,0","3,5","2,2",Olahan,Bumbu,DABM-1964
1124,NR001,"Asam arang coklat, segar","30,9","0,5","1,1","1,5",Tunggal,Bumbu,KZGPI-1990
1125,NR002,"Asam arang merah, segar","20,3","0,8","1,6","2,8",Tunggal,Bumbu,KZGPI-1990
1126,NR003,"Asam kandis, kering","63,3","0,9","1,6","5,0",Tunggal,Bumbu,KZGPI-1990
1127,NR004,"Asam kandis, segar","16,1","0,2","1,1","3,4",Tunggal,Bumbu,KZGPI-1990
1128,NR005,"Asam masak pohon, segar","62,5","2,8","0,6","1,2",Tunggal,Bumbu,DABM-1964
1129,NR006,"Asam payak, segar","32,1","0,8","0,4","10,0",Tunggal,Bumbu,KZGPI-1990
1130,NR007,"Bawang merah, segar","9,2","1,5","0,3","1,7",Tunggal,Bumbu,DABM-1964
1131,NR008,"Bawang putih, segar","23,1","4,5","0,2","0,6",Tunggal,Bumbu,DABM-1964
1132,NR009,"Boros kunci, segar","7,2","1,0","0,8","1,0",Tunggal,Bumbu,DABM-1964
1133,NR010,"Boros laja (lengkuas), segar","4,7","1,0","0,3","1,1",Tunggal,Bumbu,DABM-1964
1134,NR011,"Cabai gembor merah, segar","6,3","1,6","0,8","1,6",Tunggal,Bumbu,KZGPI-1990
1135,NR012,"Cabai hijau, segar","5,2","0,7","0,3","2,6",Tunggal,Bumbu,DABM-1964
1136,NR013,"Cabai merah, kering","61,8","15,9","6,2","26,9",Tunggal,Bumbu,DABM-1964
1137,NR014,"Cabai merah, segar","7,3","1,0","0,3","1,4",Tunggal,Bumbu,DABM-1964
1138,NR015,"Cabai rawit, segar","19,9","4,7","2,4","15,2",Tunggal,Bumbu,DABM-1964
1139,NR016,"Cengkeh, kering","57,4","5,2","8,9","10,0",Tunggal,Bumbu,DABM-1964
1140,NR017,"Daun salam, bubuk","49,0","14,2","10,9","9,4",Tunggal,Bumbu,FCTEA-1972
1141,NR018,"Jahe, segar","10,1","1,5","1,0","12,0",Tunggal,Bumbu,DABM-1964
1142,NR019,Kemiri,"8,0","19,0","63,0","3,0",Tunggal,Bumbu,DABM-1964
1143,NR020,"Ketumbar, kering","54,2","14,1","16,1","12,3",Tunggal,Bumbu,DABM-1964
1144,NR021,Kluwek,"13,5","10,0","24,0",-,Tunggal,Bumbu,DABM-1964
1145,NR022,"Kunyit, segar","9,1","2,0","2,7","0,6",Tunggal,Bumbu,DABM-1964
1146,NR023,"Merica, kering","64,4","11,5","6,8","1,0",Tunggal,Bumbu,DABM-1964
1147,NR024,"Pala, biji, kering","40,1","7,5","36,4","3,5",Tunggal,Bumbu,DABM-1964
1148,QR001,"Kelapa muda, air, segar","3,8","0,2","0,1",-,Tunggal,Minuman,DABM-1964
